Period of const,Total occupied private dwellings,  Single-detached house,  Single-attached house,  Apartment,Mobile
Total occupied private dwellings,1603685,640520,315025,641650,6490
  1945 or before,,,,,
    1920 or before,316030,127815,99060,89090,65
    1921 - 1945,285630,92660,81075,111845,50
  1946 - 1970,,,,,
    1946 - 1960,543550,234420,83565,224590,975
    1961 - 1965,226985,103855,25025,96670,1435
    1966 - 1969,174280,61110,17335,93445,2390
    1970 - 1971 (1),57205,20660,8965,26005,1575
