year,vintage,type,dwellings
2006,2021-2025,mobile,0.0
2021,total,mobile,23640.0
2021,<1920,mobile,235.0
2021,1921-1945,mobile,155.0
2021,1946-1960,mobile,545.0
2021,1961-1970,mobile,2160.0
2021,1971-1980,mobile,10290.0
2021,1981-1990,mobile,4105.0
2021,1991-1995,mobile,1150.0
2021,1996-2000,mobile,850.0
2021,2001-2005,mobile,745.0
2021,2006-2010,mobile,1030.0
2021,2011-2015,mobile,1030.0
2021,2016-2020,mobile,1242.0
2021,2021-2025,mobile,103.0
1961,total,mobile,1296.0
1961,<1945,mobile,36.0
1961,<1920,mobile,5.0
1961,1921-1945,mobile,31.0
1961,1946-1960,mobile,1123.0
1961,1946-1959,mobile,791.0
1961,1960-1960,mobile,332.0
1961,1961-1965,mobile,137.0
1961,1961-1970,mobile,137.0
1961,1971-1980,mobile,0.0
1961,1981-1990,mobile,0.0
1961,1991-1995,mobile,0.0
1961,1996-2000,mobile,0.0
1961,2001-2005,mobile,0.0
1961,2006-2010,mobile,0.0
1961,2011-2015,mobile,0.0
1961,2016-2020,mobile,0.0
1961,2021-2025,mobile,0.0
2016,total,mobile,23295.0
2016,<1920,mobile,170.0
2016,1921-1945,mobile,145.0
2016,1946-1960,mobile,510.0
2016,1961-1970,mobile,2000.0
2016,1971-1980,mobile,11215.0
2016,1981-1990,mobile,4335.0
2016,1991-1995,mobile,1250.0
2016,1996-2000,mobile,665.0
2016,2001-2005,mobile,885.0
2016,2006-2010,mobile,875.0
2016,2011-2015,mobile,1154.0
2016,2016-2020,mobile,96.0
2016,2021-2025,mobile,0.0
2011,total,mobile,22875.0
2011,<1920,mobile,170.0
2011,1921-1945,mobile,125.0
2011,1946-1960,mobile,670.0
2011,1961-1970,mobile,2060.0
2011,1971-1980,mobile,11750.0
2011,1981-1990,mobile,4335.0
2011,1991-1995,mobile,1300.0
2011,1996-2000,mobile,775.0
2011,2001-2005,mobile,615.0
2011,2006-2010,mobile,1007.0
2011,2011-2015,mobile,83.0
2011,2016-2020,mobile,0.0
2011,2021-2025,mobile,0.0
1996,total,mobile,19350.0
1996,<1945,mobile,105.0
1996,<1920,mobile,30.0
1996,1921-1945,mobile,70.0
1996,1946-1970,mobile,2310.0
1996,1946-1960,mobile,265.0
1996,1961-1970,mobile,2040.0
1996,1971-1985,mobile,14005.0
1996,1971-1980,mobile,11965.0
1996,1981-1985,mobile,2040.0
1996,1986 +,mobile,2935.0
1996,1986-1990,mobile,1695.0
1996,1991-1995,mobile,1195.0
1996,1996(1),mobile,35.0
1996,1981-1990,mobile,3735.0
1996,1996-2000,mobile,35.0
1996,2001-2005,mobile,0.0
1996,2006-2010,mobile,0.0
1996,2011-2015,mobile,0.0
1996,2016-2020,mobile,0.0
1996,2021-2025,mobile,0.0
1971,total,mobile,6490.0
1971,<1945,mobile,115.0
1971,<1920,mobile,65.0
1971,1921-1945,mobile,50.0
1971,1946-1970,mobile,5912.0
1971,1946-1960,mobile,975.0
1971,1961-1965,mobile,1435.0
1971,1966-1969,mobile,2390.0
1971,1970-1970,mobile,1112.0
1971,1971-1975,mobile,463.0
1971,1961-1970,mobile,4937.0
1971,1971-1980,mobile,463.0
1971,1981-1990,mobile,0.0
1971,1991-1995,mobile,0.0
1971,1996-2000,mobile,0.0
1971,2001-2005,mobile,0.0
1971,2006-2010,mobile,0.0
1971,2011-2015,mobile,0.0
1971,2016-2020,mobile,0.0
1971,2021-2025,mobile,0.0
1986,total,mobile,17150.0
1986,<1945,mobile,155.0
1986,<1920,mobile,75.0
1986,1921-1945,mobile,80.0
1986,1946-1970,mobile,1955.0
1986,1946-1960,mobile,370.0
1986,1961-1970,mobile,1585.0
1986,1971-1985,mobile,14945.0
1986,1971-1975,mobile,7065.0
1986,1976-1980,mobile,6130.0
1986,1981-1985,mobile,1750.0
1986,1986 +,mobile,110.0
1986,1986-1990,mobile,110.0
1986,1986(1),mobile,110.0
1986,1971-1980,mobile,13195.0
1986,1981-1990,mobile,1860.0
1986,1991-1995,mobile,0.0
1986,1996-2000,mobile,0.0
1986,2001-2005,mobile,0.0
1986,2006-2010,mobile,0.0
1986,2011-2015,mobile,0.0
1986,2016-2020,mobile,0.0
1986,2021-2025,mobile,0.0
1981,total,mobile,
1981,<1945,mobile,
1981,<1920,mobile,
1981,1921-1945,mobile,
1981,1946-1970,mobile,0.0
1981,1946-1960,mobile,
1981,1961-1970,mobile,
1981,1971-1980,mobile,
1981,1971-1975,mobile,
1981,1976-1980,mobile,
1981,1981-1985,mobile,
1981,1981-1990,mobile,0.0
1981,1991-1995,mobile,0.0
1981,1996-2000,mobile,0.0
1981,2001-2005,mobile,0.0
1981,2006-2010,mobile,0.0
1981,2011-2015,mobile,0.0
1981,2016-2020,mobile,0.0
1981,2021-2025,mobile,0.0
2001,total,mobile,21645.0
2001,<1945,mobile,
2001,<1920,mobile,
2001,1921-1945,mobile,
2001,1946-1970,mobile,0.0
2001,1946-1960,mobile,
2001,1961-1970,mobile,
2001,1971-1985,mobile,0.0
2001,1971-1980,mobile,
2001,1981-1985,mobile,
2001,1986 +,mobile,0.0
2001,1986-1990,mobile,
2001,1991-1995,mobile,
2001,1996-2000,mobile,
2001,2001-2005,mobile,
2001,1981-1990,mobile,0.0
2001,2006-2010,mobile,0.0
2001,2011-2015,mobile,0.0
2001,2016-2020,mobile,0.0
2001,2021-2025,mobile,0.0
1991,total,other_dwelling,1297785.0
1991,<1945,other_dwelling,284285.0
1991,<1920,other_dwelling,105660.0
1991,1921-1945,other_dwelling,178620.0
1991,1946-1970,other_dwelling,541815.0
1991,1946-1960,other_dwelling,287345.0
1991,1961-1970,other_dwelling,254470.0
1991,1971-1985,other_dwelling,315320.0
1991,1971-1980,other_dwelling,216530.0
1991,1981-1985,other_dwelling,98785.0
1991,1986 +,other_dwelling,156370.0
1991,1986-1990,other_dwelling,151170.0
1991,1991(1),other_dwelling,5200.0
1991,1981-1990,other_dwelling,249955.0
1991,1991-1995,other_dwelling,5200.0
1991,1996-2000,other_dwelling,0.0
1991,2001-2005,other_dwelling,0.0
1991,2006-2010,other_dwelling,0.0
1991,2011-2015,other_dwelling,0.0
1991,2016-2020,other_dwelling,0.0
1991,2021-2025,other_dwelling,0.0
2006,total,other_dwelling,1547740.0
2006,<1920,other_dwelling,111660.0
2006,1921-1945,other_dwelling,151725.0
2006,1946-1960,other_dwelling,313445.0
2006,1961-1970,other_dwelling,259100.0
2006,1971-1980,other_dwelling,235355.0
2006,1981-1985,other_dwelling,120190.0
2006,1986-1990,other_dwelling,112905.0
2006,1991-1995,other_dwelling,98875.0
2006,1996-2000,other_dwelling,58570.0
2006,2001-2005,other_dwelling,79307.0
2006,2006-2010,other_dwelling,6608.0
2006,1981-1990,other_dwelling,233095.0
2006,2011-2015,other_dwelling,0.0
2006,2016-2020,other_dwelling,0.0
2006,2021-2025,other_dwelling,0.0
2021,total,other_dwelling,
2021,<1920,other_dwelling,
2021,1921-1945,other_dwelling,
2021,1946-1960,other_dwelling,
2021,1961-1970,other_dwelling,
2021,1971-1980,other_dwelling,
2021,1981-1990,other_dwelling,
2021,1991-1995,other_dwelling,
2021,1996-2000,other_dwelling,
2021,2001-2005,other_dwelling,
2021,2006-2010,other_dwelling,
2021,2011-2015,other_dwelling,
2021,2016-2020,other_dwelling,
2021,2021-2025,other_dwelling,
1961,total,other_dwelling,
1961,<1945,other_dwelling,0.0
1961,<1920,other_dwelling,
1961,1921-1945,other_dwelling,
1961,1946-1960,other_dwelling,0.0
1961,1946-1959,other_dwelling,
1961,1960-1960,other_dwelling,
1961,1961-1965,other_dwelling,
1961,1961-1970,other_dwelling,0.0
1961,1971-1980,other_dwelling,0.0
1961,1981-1990,other_dwelling,0.0
1961,1991-1995,other_dwelling,0.0
1961,1996-2000,other_dwelling,0.0
1961,2001-2005,other_dwelling,0.0
1961,2006-2010,other_dwelling,0.0
1961,2011-2015,other_dwelling,0.0
1961,2016-2020,other_dwelling,0.0
1961,2021-2025,other_dwelling,0.0
2016,total,other_dwelling,
2016,<1920,other_dwelling,
2016,1921-1945,other_dwelling,
2016,1946-1960,other_dwelling,
2016,1961-1970,other_dwelling,
2016,1971-1980,other_dwelling,
2016,1981-1990,other_dwelling,
2016,1991-1995,other_dwelling,
2016,1996-2000,other_dwelling,
2016,2001-2005,other_dwelling,
2016,2006-2010,other_dwelling,
2016,2011-2015,other_dwelling,
2016,2016-2020,other_dwelling,
2016,2021-2025,other_dwelling,0.0
2011,total,other_dwelling,1642645.0
2011,<1920,other_dwelling,113425.0
2011,1921-1945,other_dwelling,141595.0
2011,1946-1960,other_dwelling,296825.0
2011,1961-1970,other_dwelling,268775.0
2011,1971-1980,other_dwelling,236980.0
2011,1981-1990,other_dwelling,238665.0
2011,1991-1995,other_dwelling,94060.0
2011,1996-2000,other_dwelling,61850.0
2011,2001-2005,other_dwelling,79675.0
2011,2006-2010,other_dwelling,102273.0
2011,2011-2015,other_dwelling,8522.0
2011,2016-2020,other_dwelling,0.0
2011,2021-2025,other_dwelling,0.0
1996,total,other_dwelling,1385300.0
1996,<1945,other_dwelling,272865.0
1996,<1920,other_dwelling,101540.0
1996,1921-1945,other_dwelling,171325.0
1996,1946-1970,other_dwelling,559725.0
1996,1946-1960,other_dwelling,305220.0
1996,1961-1970,other_dwelling,254505.0
1996,1971-1985,other_dwelling,323830.0
1996,1971-1980,other_dwelling,222185.0
1996,1981-1985,other_dwelling,101645.0
1996,1986 +,other_dwelling,228880.0
1996,1986-1990,other_dwelling,129090.0
1996,1991-1995,other_dwelling,97670.0
1996,1996(1),other_dwelling,2115.0
1996,1981-1990,other_dwelling,230735.0
1996,1996-2000,other_dwelling,2115.0
1996,2001-2005,other_dwelling,0.0
1996,2006-2010,other_dwelling,0.0
1996,2011-2015,other_dwelling,0.0
1996,2016-2020,other_dwelling,0.0
1996,2021-2025,other_dwelling,0.0
1971,total,other_dwelling,
1971,<1945,other_dwelling,0.0
1971,<1920,other_dwelling,
1971,1921-1945,other_dwelling,
1971,1946-1970,other_dwelling,0.0
1971,1946-1960,other_dwelling,
1971,1961-1965,other_dwelling,
1971,1966-1969,other_dwelling,
1971,1970-1970,other_dwelling,
1971,1971-1975,other_dwelling,
1971,1961-1970,other_dwelling,0.0
1971,1971-1980,other_dwelling,0.0
1971,1981-1990,other_dwelling,0.0
1971,1991-1995,other_dwelling,0.0
1971,1996-2000,other_dwelling,0.0
1971,2001-2005,other_dwelling,0.0
1971,2006-2010,other_dwelling,0.0
1971,2011-2015,other_dwelling,0.0
1971,2016-2020,other_dwelling,0.0
1971,2021-2025,other_dwelling,0.0
1986,total,other_dwelling,1191740.0
1986,<1945,other_dwelling,308245.0
1986,<1920,other_dwelling,118720.0
1986,1921-1945,other_dwelling,189525.0
1986,1946-1970,other_dwelling,531395.0
1986,1946-1960,other_dwelling,293430.0
1986,1961-1970,other_dwelling,237965.0
1986,1971-1985,other_dwelling,343285.0
1986,1971-1975,other_dwelling,143660.0
1986,1976-1980,other_dwelling,107270.0
1986,1981-1985,other_dwelling,92355.0
1986,1986 +,other_dwelling,8810.0
1986,1986-1990,other_dwelling,8810.0
1986,1986(1),other_dwelling,8810.0
1986,1971-1980,other_dwelling,250930.0
1986,1981-1990,other_dwelling,101165.0
1986,1991-1995,other_dwelling,0.0
1986,1996-2000,other_dwelling,0.0
1986,2001-2005,other_dwelling,0.0
1986,2006-2010,other_dwelling,0.0
1986,2011-2015,other_dwelling,0.0
1986,2016-2020,other_dwelling,0.0
1986,2021-2025,other_dwelling,0.0
1981,total,other_dwelling,
1981,<1945,other_dwelling,
1981,<1920,other_dwelling,
1981,1921-1945,other_dwelling,
1981,1946-1970,other_dwelling,0.0
1981,1946-1960,other_dwelling,
1981,1961-1970,other_dwelling,
1981,1971-1980,other_dwelling,
1981,1971-1975,other_dwelling,
1981,1976-1980,other_dwelling,
1981,1981-1985,other_dwelling,
1981,1981-1990,other_dwelling,0.0
1981,1991-1995,other_dwelling,0.0
1981,1996-2000,other_dwelling,0.0
1981,2001-2005,other_dwelling,0.0
1981,2006-2010,other_dwelling,0.0
1981,2011-2015,other_dwelling,0.0
1981,2016-2020,other_dwelling,0.0
1981,2021-2025,other_dwelling,0.0
2001,total,other_dwelling,
2001,<1945,other_dwelling,
2001,<1920,other_dwelling,
2001,1921-1945,other_dwelling,
2001,1946-1970,other_dwelling,0.0
2001,1946-1960,other_dwelling,
2001,1961-1970,other_dwelling,
2001,1971-1985,other_dwelling,0.0
2001,1971-1980,other_dwelling,
2001,1981-1985,other_dwelling,
2001,1986 +,other_dwelling,0.0
2001,1986-1990,other_dwelling,
2001,1991-1995,other_dwelling,
2001,1996-2000,other_dwelling,
2001,2001-2005,other_dwelling,
2001,1981-1990,other_dwelling,0.0
2001,2006-2010,other_dwelling,0.0
2001,2011-2015,other_dwelling,0.0
2001,2016-2020,other_dwelling,0.0
2001,2021-2025,other_dwelling,0.0
1991,total,apartment>5,137120.0
1991,<1945,apartment>5,6020.0
1991,<1920,apartment>5,1680.0
1991,1921-1945,apartment>5,4340.0
1991,1946-1970,apartment>5,47635.0
1991,1946-1960,apartment>5,11785.0
1991,1961-1970,apartment>5,35855.0
1991,1971-1985,apartment>5,60460.0
1991,1971-1980,apartment>5,44755.0
1991,1981-1985,apartment>5,15700.0
1991,1986 +,apartment>5,23005.0
1991,1986-1990,apartment>5,22360.0
1991,1991(1),apartment>5,650.0
1991,1981-1990,apartment>5,38060.0
1991,1991-1995,apartment>5,650.0
1991,1996-2000,apartment>5,0.0
1991,2001-2005,apartment>5,0.0
1991,2006-2010,apartment>5,0.0
1991,2011-2015,apartment>5,0.0
1991,2016-2020,apartment>5,0.0
1991,2021-2025,apartment>5,0.0
2006,total,apartment>5,161655.0
2006,<1920,apartment>5,2900.0
2006,1921-1945,apartment>5,5095.0
2006,1946-1960,apartment>5,13165.0
2006,1961-1970,apartment>5,32705.0
2006,1971-1980,apartment>5,40260.0
2006,1981-1985,apartment>5,18890.0
2006,1986-1990,apartment>5,19440.0
2006,1991-1995,apartment>5,8770.0
2006,1996-2000,apartment>5,4950.0
2006,2001-2005,apartment>5,14285.0
2006,2006-2010,apartment>5,1190.0
2006,1981-1990,apartment>5,38330.0
2006,2011-2015,apartment>5,0.0
2006,2016-2020,apartment>5,0.0
2006,2021-2025,apartment>5,0.0
2021,total,apartment>5,225795.0
2021,<1920,apartment>5,4810.0
2021,1921-1945,apartment>5,4070.0
2021,1946-1960,apartment>5,12235.0
2021,1961-1970,apartment>5,30185.0
2021,1971-1980,apartment>5,35745.0
2021,1981-1990,apartment>5,31815.0
2021,1991-1995,apartment>5,10040.0
2021,1996-2000,apartment>5,8280.0
2021,2001-2005,apartment>5,12595.0
2021,2006-2010,apartment>5,16885.0
2021,2011-2015,apartment>5,24425.0
2021,2016-2020,apartment>5,32045.0
2021,2021-2025,apartment>5,2670.0
1961,total,apartment>5,
1961,<1945,apartment>5,0.0
1961,<1920,apartment>5,
1961,1921-1945,apartment>5,
1961,1946-1960,apartment>5,0.0
1961,1946-1959,apartment>5,
1961,1960-1960,apartment>5,
1961,1961-1965,apartment>5,
1961,1961-1970,apartment>5,0.0
1961,1971-1980,apartment>5,0.0
1961,1981-1990,apartment>5,0.0
1961,1991-1995,apartment>5,0.0
1961,1996-2000,apartment>5,0.0
1961,2001-2005,apartment>5,0.0
1961,2006-2010,apartment>5,0.0
1961,2011-2015,apartment>5,0.0
1961,2016-2020,apartment>5,0.0
1961,2021-2025,apartment>5,0.0
2016,total,apartment>5,187155.0
2016,<1920,apartment>5,3230.0
2016,1921-1945,apartment>5,3955.0
2016,1946-1960,apartment>5,12330.0
2016,1961-1970,apartment>5,30445.0
2016,1971-1980,apartment>5,36060.0
2016,1981-1990,apartment>5,30525.0
2016,1991-1995,apartment>5,9060.0
2016,1996-2000,apartment>5,7080.0
2016,2001-2005,apartment>5,12375.0
2016,2006-2010,apartment>5,17160.0
2016,2011-2015,apartment>5,23017.0
2016,2016-2020,apartment>5,1918.0
2016,2021-2025,apartment>5,0.0
2011,total,apartment>5,169350.0
2011,<1920,apartment>5,2860.0
2011,1921-1945,apartment>5,4265.0
2011,1946-1960,apartment>5,13190.0
2011,1961-1970,apartment>5,34580.0
2011,1971-1980,apartment>5,35340.0
2011,1981-1990,apartment>5,34115.0
2011,1991-1995,apartment>5,9080.0
2011,1996-2000,apartment>5,5360.0
2011,2001-2005,apartment>5,14485.0
2011,2006-2010,apartment>5,14834.0
2011,2011-2015,apartment>5,1236.0
2011,2016-2020,apartment>5,0.0
2011,2021-2025,apartment>5,0.0
1996,total,apartment>5,144780.0
1996,<1945,apartment>5,6020.0
1996,<1920,apartment>5,2125.0
1996,1921-1945,apartment>5,3895.0
1996,1946-1970,apartment>5,45600.0
1996,1946-1960,apartment>5,11870.0
1996,1961-1970,apartment>5,33735.0
1996,1971-1985,apartment>5,63695.0
1996,1971-1980,apartment>5,46295.0
1996,1981-1985,apartment>5,17400.0
1996,1986 +,apartment>5,29455.0
1996,1986-1990,apartment>5,22255.0
1996,1991-1995,apartment>5,7095.0
1996,1996(1),apartment>5,100.0
1996,1981-1990,apartment>5,39655.0
1996,1996-2000,apartment>5,100.0
1996,2001-2005,apartment>5,0.0
1996,2006-2010,apartment>5,0.0
1996,2011-2015,apartment>5,0.0
1996,2016-2020,apartment>5,0.0
1996,2021-2025,apartment>5,0.0
1971,total,apartment>5,
1971,<1945,apartment>5,0.0
1971,<1920,apartment>5,
1971,1921-1945,apartment>5,
1971,1946-1970,apartment>5,0.0
1971,1946-1960,apartment>5,
1971,1961-1965,apartment>5,
1971,1966-1969,apartment>5,
1971,1970-1970,apartment>5,
1971,1971-1975,apartment>5,
1971,1961-1970,apartment>5,0.0
1971,1971-1980,apartment>5,0.0
1971,1981-1990,apartment>5,0.0
1971,1991-1995,apartment>5,0.0
1971,1996-2000,apartment>5,0.0
1971,2001-2005,apartment>5,0.0
1971,2006-2010,apartment>5,0.0
1971,2011-2015,apartment>5,0.0
1971,2016-2020,apartment>5,0.0
1971,2021-2025,apartment>5,0.0
1986,total,apartment>5,115980.0
1986,<1945,apartment>5,5455.0
1986,<1920,apartment>5,1775.0
1986,1921-1945,apartment>5,3680.0
1986,1946-1970,apartment>5,42945.0
1986,1946-1960,apartment>5,11375.0
1986,1961-1970,apartment>5,31570.0
1986,1971-1985,apartment>5,67070.0
1986,1971-1975,apartment>5,27705.0
1986,1976-1980,apartment>5,25030.0
1986,1981-1985,apartment>5,14335.0
1986,1986 +,apartment>5,515.0
1986,1986-1990,apartment>5,515.0
1986,1986(1),apartment>5,515.0
1986,1971-1980,apartment>5,52735.0
1986,1981-1990,apartment>5,14850.0
1986,1991-1995,apartment>5,0.0
1986,1996-2000,apartment>5,0.0
1986,2001-2005,apartment>5,0.0
1986,2006-2010,apartment>5,0.0
1986,2011-2015,apartment>5,0.0
1986,2016-2020,apartment>5,0.0
1986,2021-2025,apartment>5,0.0
1981,total,apartment>5,115515.0
1981,<1945,apartment>5,
1981,<1920,apartment>5,
1981,1921-1945,apartment>5,
1981,1946-1970,apartment>5,0.0
1981,1946-1960,apartment>5,
1981,1961-1970,apartment>5,
1981,1971-1980,apartment>5,
1981,1971-1975,apartment>5,
1981,1976-1980,apartment>5,
1981,1981-1985,apartment>5,
1981,1981-1990,apartment>5,0.0
1981,1991-1995,apartment>5,0.0
1981,1996-2000,apartment>5,0.0
1981,2001-2005,apartment>5,0.0
1981,2006-2010,apartment>5,0.0
1981,2011-2015,apartment>5,0.0
1981,2016-2020,apartment>5,0.0
1981,2021-2025,apartment>5,0.0
2001,total,apartment>5,154455.0
2001,<1945,apartment>5,
2001,<1920,apartment>5,
2001,1921-1945,apartment>5,
2001,1946-1970,apartment>5,0.0
2001,1946-1960,apartment>5,
2001,1961-1970,apartment>5,
2001,1971-1985,apartment>5,0.0
2001,1971-1980,apartment>5,
2001,1981-1985,apartment>5,
2001,1986 +,apartment>5,0.0
2001,1986-1990,apartment>5,
2001,1991-1995,apartment>5,
2001,1996-2000,apartment>5,
2001,2001-2005,apartment>5,
2001,1981-1990,apartment>5,0.0
2001,2006-2010,apartment>5,0.0
2001,2011-2015,apartment>5,0.0
2001,2016-2020,apartment>5,0.0
2001,2021-2025,apartment>5,0.0
1991,total,other_attached_dwelling,
1991,<1945,other_attached_dwelling,
1991,<1920,other_attached_dwelling,
1991,1921-1945,other_attached_dwelling,
1991,1946-1970,other_attached_dwelling,
1991,1946-1960,other_attached_dwelling,
1991,1961-1970,other_attached_dwelling,
1991,1971-1985,other_attached_dwelling,
1991,1971-1980,other_attached_dwelling,
1991,1981-1985,other_attached_dwelling,
1991,1986 +,other_attached_dwelling,
1991,1986-1990,other_attached_dwelling,
1991,1991(1),other_attached_dwelling,
1991,1981-1990,other_attached_dwelling,0.0
1991,1991-1995,other_attached_dwelling,0.0
1991,1996-2000,other_attached_dwelling,0.0
1991,2001-2005,other_attached_dwelling,0.0
1991,2006-2010,other_attached_dwelling,0.0
1991,2011-2015,other_attached_dwelling,0.0
1991,2016-2020,other_attached_dwelling,0.0
1991,2021-2025,other_attached_dwelling,0.0
2006,total,other_attached_dwelling,
2006,<1920,other_attached_dwelling,
2006,1921-1945,other_attached_dwelling,
2006,1946-1960,other_attached_dwelling,
2006,1961-1970,other_attached_dwelling,
2006,1971-1980,other_attached_dwelling,
2006,1981-1985,other_attached_dwelling,
2006,1986-1990,other_attached_dwelling,
2006,1991-1995,other_attached_dwelling,
2006,1996-2000,other_attached_dwelling,
2006,2001-2005,other_attached_dwelling,
2006,2006-2010,other_attached_dwelling,
2006,1981-1990,other_attached_dwelling,0.0
2006,2011-2015,other_attached_dwelling,0.0
2006,2016-2020,other_attached_dwelling,0.0
2006,2021-2025,other_attached_dwelling,0.0
2021,total,other_attached_dwelling,1827505.0
2021,<1920,other_attached_dwelling,119315.0
2021,1921-1945,other_attached_dwelling,121060.0
2021,1946-1960,other_attached_dwelling,257900.0
2021,1961-1970,other_attached_dwelling,255345.0
2021,1971-1980,other_attached_dwelling,257275.0
2021,1981-1990,other_attached_dwelling,225085.0
2021,1991-1995,other_attached_dwelling,106010.0
2021,1996-2000,other_attached_dwelling,78265.0
2021,2001-2005,other_attached_dwelling,80760.0
2021,2006-2010,other_attached_dwelling,107035.0
2021,2011-2015,other_attached_dwelling,109465.0
2021,2016-2020,other_attached_dwelling,101539.0
2021,2021-2025,other_attached_dwelling,8461.0
1961,total,other_attached_dwelling,
1961,<1945,other_attached_dwelling,0.0
1961,<1920,other_attached_dwelling,
1961,1921-1945,other_attached_dwelling,
1961,1946-1960,other_attached_dwelling,0.0
1961,1946-1959,other_attached_dwelling,
1961,1960-1960,other_attached_dwelling,
1961,1961-1965,other_attached_dwelling,
1961,1961-1970,other_attached_dwelling,0.0
1961,1971-1980,other_attached_dwelling,0.0
1961,1981-1990,other_attached_dwelling,0.0
1961,1991-1995,other_attached_dwelling,0.0
1961,1996-2000,other_attached_dwelling,0.0
1961,2001-2005,other_attached_dwelling,0.0
1961,2006-2010,other_attached_dwelling,0.0
1961,2011-2015,other_attached_dwelling,0.0
1961,2016-2020,other_attached_dwelling,0.0
1961,2021-2025,other_attached_dwelling,0.0
2016,total,other_attached_dwelling,1718540.0
2016,<1920,other_attached_dwelling,111575.0
2016,1921-1945,other_attached_dwelling,125600.0
2016,1946-1960,other_attached_dwelling,274670.0
2016,1961-1970,other_attached_dwelling,259635.0
2016,1971-1980,other_attached_dwelling,256270.0
2016,1981-1990,other_attached_dwelling,222470.0
2016,1991-1995,other_attached_dwelling,101305.0
2016,1996-2000,other_attached_dwelling,68400.0
2016,2001-2005,other_attached_dwelling,77225.0
2016,2006-2010,other_attached_dwelling,112625.0
2016,2011-2015,other_attached_dwelling,100385.0
2016,2016-2020,other_attached_dwelling,8365.0
2016,2021-2025,other_attached_dwelling,0.0
2011,total,other_attached_dwelling,
2011,<1920,other_attached_dwelling,
2011,1921-1945,other_attached_dwelling,
2011,1946-1960,other_attached_dwelling,
2011,1961-1970,other_attached_dwelling,
2011,1971-1980,other_attached_dwelling,
2011,1981-1990,other_attached_dwelling,
2011,1991-1995,other_attached_dwelling,
2011,1996-2000,other_attached_dwelling,
2011,2001-2005,other_attached_dwelling,
2011,2006-2010,other_attached_dwelling,
2011,2011-2015,other_attached_dwelling,
2011,2016-2020,other_attached_dwelling,0.0
2011,2021-2025,other_attached_dwelling,0.0
1996,total,other_attached_dwelling,
1996,<1945,other_attached_dwelling,
1996,<1920,other_attached_dwelling,
1996,1921-1945,other_attached_dwelling,
1996,1946-1970,other_attached_dwelling,
1996,1946-1960,other_attached_dwelling,
1996,1961-1970,other_attached_dwelling,
1996,1971-1985,other_attached_dwelling,
1996,1971-1980,other_attached_dwelling,
1996,1981-1985,other_attached_dwelling,
1996,1986 +,other_attached_dwelling,
1996,1986-1990,other_attached_dwelling,
1996,1991-1995,other_attached_dwelling,
1996,1996(1),other_attached_dwelling,
1996,1981-1990,other_attached_dwelling,0.0
1996,1996-2000,other_attached_dwelling,0.0
1996,2001-2005,other_attached_dwelling,0.0
1996,2006-2010,other_attached_dwelling,0.0
1996,2011-2015,other_attached_dwelling,0.0
1996,2016-2020,other_attached_dwelling,0.0
1996,2021-2025,other_attached_dwelling,0.0
1971,total,other_attached_dwelling,
1971,<1945,other_attached_dwelling,0.0
1971,<1920,other_attached_dwelling,
1971,1921-1945,other_attached_dwelling,
1971,1946-1970,other_attached_dwelling,0.0
1971,1946-1960,other_attached_dwelling,
1971,1961-1965,other_attached_dwelling,
1971,1966-1969,other_attached_dwelling,
1971,1970-1970,other_attached_dwelling,
1971,1971-1975,other_attached_dwelling,
1971,1961-1970,other_attached_dwelling,0.0
1971,1971-1980,other_attached_dwelling,0.0
1971,1981-1990,other_attached_dwelling,0.0
1971,1991-1995,other_attached_dwelling,0.0
1971,1996-2000,other_attached_dwelling,0.0
1971,2001-2005,other_attached_dwelling,0.0
1971,2006-2010,other_attached_dwelling,0.0
1971,2011-2015,other_attached_dwelling,0.0
1971,2016-2020,other_attached_dwelling,0.0
1971,2021-2025,other_attached_dwelling,0.0
1986,total,other_attached_dwelling,
1986,<1945,other_attached_dwelling,0.0
1986,<1920,other_attached_dwelling,
1986,1921-1945,other_attached_dwelling,
1986,1946-1970,other_attached_dwelling,0.0
1986,1946-1960,other_attached_dwelling,
1986,1961-1970,other_attached_dwelling,
1986,1971-1985,other_attached_dwelling,0.0
1986,1971-1975,other_attached_dwelling,
1986,1976-1980,other_attached_dwelling,
1986,1981-1985,other_attached_dwelling,
1986,1986 +,other_attached_dwelling,0.0
1986,1986-1990,other_attached_dwelling,0.0
1986,1986(1),other_attached_dwelling,
1986,1971-1980,other_attached_dwelling,0.0
1986,1981-1990,other_attached_dwelling,0.0
1986,1991-1995,other_attached_dwelling,0.0
1986,1996-2000,other_attached_dwelling,0.0
1986,2001-2005,other_attached_dwelling,0.0
1986,2006-2010,other_attached_dwelling,0.0
1986,2011-2015,other_attached_dwelling,0.0
1986,2016-2020,other_attached_dwelling,0.0
1986,2021-2025,other_attached_dwelling,0.0
1981,total,other_attached_dwelling,
1981,<1945,other_attached_dwelling,
1981,<1920,other_attached_dwelling,
1981,1921-1945,other_attached_dwelling,
1981,1946-1970,other_attached_dwelling,0.0
1981,1946-1960,other_attached_dwelling,
1981,1961-1970,other_attached_dwelling,
1981,1971-1980,other_attached_dwelling,
1981,1971-1975,other_attached_dwelling,
1981,1976-1980,other_attached_dwelling,
1981,1981-1985,other_attached_dwelling,
1981,1981-1990,other_attached_dwelling,0.0
1981,1991-1995,other_attached_dwelling,0.0
1981,1996-2000,other_attached_dwelling,0.0
1981,2001-2005,other_attached_dwelling,0.0
1981,2006-2010,other_attached_dwelling,0.0
